"Id","MonthlyIncome"
871,5536.64778774874
872,2565.47290067426
873,14482.7502431034
874,2616.97848807007
875,2573.47708038575
876,6355.65717381035
877,5600.66625930852
878,2429.72050476554
879,2611.35535629515
880,14741.7684323515
881,10906.324095003
882,2625.14336329215
883,5473.36107996691
884,5410.79777152985
885,5618.14012903125
886,5348.94959361411
887,5571.24995136473
888,5536.64778774874
889,5730.932436189
890,2595.13663588469
891,5665.42495579462
892,8766.27827077265
893,8593.74635518008
894,5583.24673784268
895,11032.4304007793
896,9073.89279805667
897,8970.17357589034
898,13716.393270737
899,5730.932436189
900,2595.13663588469
901,2595.13663588469
902,5797.19735843833
903,6283.00877106916
904,2655.49704880472
905,14527.935883393
906,5348.94959361411
907,9864.97746760506
908,5600.66625930852
909,2478.50066602653
910,2450.17013943335
911,17550.1404914682
912,2625.14336329215
913,2625.14336329215
914,9102.20300496604
915,5600.66625930852
916,5410.79777152985
917,2507.15876935577
918,5410.79777152985
919,2450.17013943335
920,2836.28411758487
921,2536.14823708514
922,2499.36085675413
923,5665.42495579462
924,5845.98921241689
925,16297.9089191718
926,2771.81434889391
927,5845.98921241689
928,9560.27927910171
929,2499.36085675413
930,2655.49704880472
931,6070.00815313727
932,8867.63991732787
933,9045.67064321721
934,2457.81457883266
935,2450.17013943335
936,2536.14823708514
937,9610.75773936784
938,9342.97065690716
939,6283.00877106916
940,2450.17013943335
941,2878.03057539564
942,9150.26281360832
943,10906.324095003
944,5348.94959361411
945,2374.49207473813
946,5473.36107996691
947,2450.17013943335
948,2507.15876935577
949,2655.49704880472
950,5713.10775320142
951,2717.26138759036
952,5600.66625930852
953,5600.66625930852
954,2595.13663588469
955,5665.42495579462
956,8424.61009518715
957,11623.8000719262
958,2717.26138759036
959,10063.0311905588
960,21698.9139534587
961,2595.13663588469
962,5665.42495579462
963,5815.28439785618
964,5981.96136814397
965,2429.72050476554
966,18744.9595395858
967,2514.98101115372
968,8693.11307087552
969,15565.4147656223
970,2565.47290067426
971,5536.64778774874
972,5730.932436189
973,2565.47290067426
974,2401.94756029238
975,5304.3061367025
976,2486.23349561157
977,6230.56946005352
978,2595.13663588469
979,9421.6053543018
980,17495.5550127296
981,2544.06092494057
982,9207.44884081169
983,2544.06092494057
984,2514.98101115372
985,5490.43776228089
986,2708.81000147344
987,2401.94756029238
988,5536.64778774874
989,10063.0311905588
990,2457.81457883266
991,5815.28439785618
992,2616.97848807007
993,5864.22848059834
994,5410.79777152985
995,5473.36107996691
996,6140.19369847376
997,2507.15876935577
998,15037.7308033287
999,9073.89279805667
1000,2450.17013943335
1001,6140.19369847376
1002,5410.79777152985
1003,5730.932436189
